Activiti-activiti-spring,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest.testHappyJobExecutorPath,random,OD,48,100,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest.testRollbackJobExecutorPath,random,OD,48,100,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.aCreateStandaloneTaskForGroup,random,OD,60,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.bClaimAndRelease,random,OD,61,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.eCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,random,OD,44,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.fCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,random,OD,72,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.aCreateStandaloneTaskAndComplete,random,OD,50,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.bCreateStandaloneTask,random,OD,16,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.ctryCompletingWithUnauthorizedUser,random,OD,50,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.aCreateStandaloneTaskAndDelete,random,OD,37,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.cCreateStandaloneGroupTaskClaimAndDeleteFail,random,OD,20,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.dClaimTaskCreatedForGroup,random,OD,79,96,7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7
