test_name,p_count,c_count,expected_fail
org.jboss.as.naming.NamingContextTestCase.testBind,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testBindReferenceable,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testCreateSubcontext,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testList,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testListBindings,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testListBindingsNameNotFound,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testListBindingsWithContinuation,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testListNameNotFound,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testListWithContinuation,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookup,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupContextLink,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupEmptyName,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupLink,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupNameNotFound,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupReference,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupWithContinuation,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testLookupWitResolveResult,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testRebind,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testRebindReferenceable,1,0,0.5
org.jboss.as.naming.NamingContextTestCase.testUnbind,1,0,0.5
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireAllEvent,1,0,0.5
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireMultiLevelEvent,1,0,0.5
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireObjectEvent,1,0,0.5
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireOneLevelEvent,1,0,0.5
org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireSubTreeEvent,1,0,0.5
org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromInitialContext,1,0,0.5
org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromNamingContext,1,0,0.5
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testListBindings,1,0,0.5
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBinding,1,0,0.5
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBindingUsingNestedContext,1,0,0.5
org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testStoredContext,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingOps,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingUpdate,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testOnlyExternalContextAllowsCache,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP6,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP7,1,0,0.5
org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testSubsystem,1,0,0.5
org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testBind,1,0,0.5
org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testBindNested,1,0,0.5
org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,43,0,0.96875
org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testRebind,1,0,0.5
org.jfree.data.time.DayTest.testParseDay,3,0,0.6666666666666666666666666666
